state,county_name,fips
VA,Patrick,51141
VA,Pittsylvania,51143
VA,Pulaski,51155
VA,Roanoke,51161
VA,Rockbridge,51163
VA,Russell,51167
VA,Scott,51169
VA,Smyth,51173
VA,Tazewell,51185
VA,Washington,51191
VA,Wise,51195
VA,Wythe,51197
VA,Alleghany,51005
VA,Carroll,51035
VA,Campbell,51031
VA,Henry,51089
VA,Montgomery,51121
VA,Halifax,51083
VA,Grayson,51077
VA,Giles,51071
VA,Franklin,51067
VA,Floyd,51063
VA,Dickenson,51051
VA,Craig,51045
VA,Charlotte,51037
VA,Buckingham,51029
VA,Buchanan,51027
VA,Botetourt,51023
VA,Bland,51021
VA,Bedford,51019
VA,Bath,51017
VA,Appomattox,51011
VA,Amherst,51009
VA,Lee,51105
WV,Raleigh,54081
WV,Putnam,54079
WV,Preston,54077
WV,Pocahontas,54075
WV,Pleasants,54073
WV,Ohio,54069
WV,Nicholas,54067
WV,Monroe,54063
WV,Monongalia,54061
WV,Mingo,54059
WV,Mercer,54055
WV,Mason,54053
WV,Marshall,54051
WV,Marion,54049
WV,McDowell,54047
WV,Logan,54045
WV,Lincoln,54043
WV,Kanawha,54039
WV,Jackson,54035
WV,Hancock,54029
WV,Greenbrier,54025
WV,Randolph,54083
WV,Gilmer,54021
WV,Fayette,54019
WV,Clay,54015
WV,Calhoun,54013
WV,Cabell,54011
WV,Brooke,54009
WV,Braxton,54007
WV,Boone,54005
WV,Wetzel,54103
WV,Wirt,54105
WV,Wood,54107
WV,Wyoming,54109
WV,Barbour,54001
WV,Taylor,54091
WV,Webster,54101
WV,Wayne,54099
WV,Upshur,54097
WV,Tyler,54095
WV,Tucker,54093
WV,Summers,54089
WV,Roane,54087
WV,Ritchie,54085
KY,Madison,21151
KY,Magoffin,21153
KY,Marion,21155
KY,Marshall,21157
KY,Martin,21159
KY,Mason,21161
KY,Meade,21163
KY,Menifee,21165
KY,Mercer,21167
KY,Metcalfe,21169
KY,Monroe,21171
KY,Montgomery,21173
KY,Morgan,21175
KY,Muhlenberg,21177
KY,Nelson,21179
KY,Nicholas,21181
KY,Ohio,21183
KY,Oldham,21185
KY,Owen,21187
KY,Owsley,21189
KY,Pendleton,21191
KY,Perry,21193
KY,Pike,21195
KY,Powell,21197
KY,Pulaski,21199
KY,Robertson,21201
KY,Rockcastle,21203
KY,Rowan,21205
KY,Russell,21207
KY,Scott,21209
KY,Shelby,21211
KY,Simpson,21213
KY,Spencer,21215
KY,Taylor,21217
KY,Todd,21219
KY,Trigg,21221
KY,Trimble,21223
KY,Union,21225
KY,Warren,21227
KY,Washington,21229
KY,Wayne,21231
KY,Webster,21233
KY,Whitley,21235
KY,Wolfe,21237
KY,Woodford,21239
KY,Lee,21129
KY,Fulton,21075
KY,Adair,21001
KY,Allen,21003
KY,Anderson,21005
KY,Ballard,21007
KY,Barren,21009
KY,Bath,21011
KY,Bell,21013
KY,Boone,21015
KY,Bourbon,21017
KY,Boyd,21019
KY,Boyle,21021
KY,Bracken,21023
KY,Breathitt,21025
KY,Breckinridge,21027
KY,Bullitt,21029
KY,Butler,21031
KY,Caldwell,21033
KY,Calloway,21035
KY,Campbell,21037
KY,Carlisle,21039
KY,Carroll,21041
KY,Carter,21043
KY,Casey,21045
KY,Christian,21047
KY,Clark,21049
KY,Clay,21051
KY,Hopkins,21107
KY,Crittenden,21055
KY,Cumberland,21057
KY,Daviess,21059
KY,Edmonson,21061
KY,Elliott,21063
KY,Estill,21065
KY,Fayette,21067
KY,Fleming,21069
KY,Floyd,21071
